0	1.3127142128747926E-4
1	8.21053316450032E-5
2	5.664545009794925E-5
3	5.431653655763186E-5
4	6.863122449587964E-5
5	5.4732743351600615E-5
6	6.424215831819521E-5
7	1.1385770010998555E-4
8	6.642294421792768E-5
9	9.00350487854468E-5
10	5.351159334287792E-5
11	5.135927199001366E-5
12	1.09443733793651E-4
13	1.0323395328617665E-4
14	8.58717085209535E-5
15	8.583401702446467E-5
16	1.3454524972460663E-4
17	5.494973063063299E-5
18	1.1186859452806422E-4
19	7.383976194911961E-5
20	2.0239270177070052E-4
21	9.494783083387168E-5
22	1.3944637782878165E-4
23	1.252255643602129E-4
24	1.0642592701442659E-4
25	8.116230437631714E-5
26	9.56926395916199E-5
27	1.1432357146423728E-4
28	6.118558945365976E-5
29	6.67282864629755E-5
30	5.884870220748471E-5
31	1.4741530309993683E-4
32	1.1961937208634824E-4
33	1.5240034732867216E-4
34	7.625181663191975E-5
35	1.1443055546469553E-4
36	1.2509837899613745E-4
37	9.812544682404608E-5
38	8.19345978818897E-5
39	1.338316729512898E-4
40	6.988508061896113E-5
41	8.865574790593437E-5
42	5.9357236780929195E-5
43	2.080963168185031E-4
44	8.720862822944357E-5
45	1.1515275467840664E-4
46	1.6396639616336517E-4
47	9.124189069531372E-5
48	9.956477930112194E-5
49	8.632603238825403E-5
50	1.1553933808644479E-4
51	8.239258861243473E-5
52	8.21121003791177E-5
53	5.151518807651093E-5
54	5.520155933231442E-5
55	1.5477976454019557E-4
56	1.6506097711186898E-4
57	7.830007715687706E-5
58	8.338801088159404E-5
59	7.839492763364757E-5
60	8.198939358560592E-5
61	1.1461739943910097E-4
62	1.1085613605312799E-4
63	5.317988388930925E-5
64	6.969226056655822E-5
65	9.688564881492882E-5
66	6.488075079192138E-5
67	1.023645965579979E-4
68	1.1398246780100138E-4
69	1.1633785928601667E-4
70	8.75834896976515E-5
71	1.26420588452929E-4
72	1.1250010343247238E-4
73	1.0766201442365585E-4
74	7.621288904247535E-5
75	9.32612223332934E-5
76	6.66160023281433E-5
77	1.145442785790386E-4
78	9.308837603598749E-5
79	1.4310935091632173E-4
80	9.312241692354366E-5
81	6.863149478144447E-5
82	1.285294886134589E-4
83	9.058291936008034E-5
84	9.214691464913098E-5
85	1.1919052341538738E-4
86	7.669979478988063E-5
87	1.557862960507948E-4
88	5.1320130497484736E-5
89	2.0331932045231262E-4
90	7.012270732247715E-5
91	1.1073244002790917E-4
92	1.0827963871650903E-4
93	1.1989440607271853E-4
94	7.589365261631147E-5
95	1.084710228646089E-4
